,,Red,,Green,,White,,Brown,,Yellow,,Consults,,,,,,Consult Reason,,,,,,,
Wednesday,2/20/2019,,,15,2,,,10,0,12,1,4,1,1,0,,,,,,,,,37,3
Thursday,2/21/2019,,,10,0,,,10,5,11,0,4,1,1,1,,,ENT,comorbidities,,,,,31,5
Friday,2/22/2019,,,8,0,,,14,6,13,3,7,3,1,0,,,NSGY,DM2/AKI,ortho spine,DM2,NSGY,DM2,35,9
Saturday,2/23/2019,,,13,5,,,15,3,15,3,7,0,1,0,,,,,,,,,43,11
Sunday,2/24/2019,,,15,4,,,9,3,12,1,5,0,2,0,,,,,,,,,36,8
Monday,2/25/2019,14,1,18,4,,,8,0,16,6,5,0,1,0,1,plastics,,,,,,,56,11
Tuesday,2/26/2019,18,6,18,4,,,12,5,15,0,2,0,3,1,1,ortho,,,,,,,63,15
Wednesday,2/27/2019,17,2,16,0,,,14,4,8,2,2,0,0,0,0,,,,,,,,55,8
Thursday,2/28/2019,16,1,14,2,,,17,7,13,3,3,1,0,0,0,,,,,,,,60,13
Friday,3/1/2019,14,0,14,4,,,14,2,16,4,4,2,0,0,0,,,,,,,,58,10
Saturday,3/2/2019,11,0,15,3,,,10,1,16,3,6,2,,,,,ortho,tachycardia,ACS,comanagement,,,52,7
Sunday,3/3/2019,16,7,15,1,,,9,1,9,0,5,0,,,,,,,,,,,49,9
Monday,3/4/2019,16,2,15,0,,,14,5,9,1,4,0,0,1,0,,,,,,,,54,8
Tuesday,3/5/2019,12,2,14,2,,,14,4,14,2,4,2,2,0,0,,,,,,,,54,10
Wednesday,3/6/2019,9,0,15,4,,,14,3,16,4,4,1,0,0,0,,,,,,,,54,11
Thursday,3/7/2019,11,2,15,4,,,11,0,11,0,4,2,1,2,2,ACS,Plastics,,,,,,48,6
Friday,3/8/2019,14,8,12,1,,,12,2,5,0,3,1,1,0,0,,,,,,,,43,11
Saturday,3/9/2019,15,4,8,0,,,16,7,7,2,3,1,2,0,0,,,,,,,,46,13
Sunday,3/10/2019,13,1,9,2,,,13,1,13,1,4,2,2,0,1,CTS,,,,,,,48,5
Monday,3/11/2019,9,0,14,5,12,4,11,0,15,4,5,0,0,0,0,,,,,,,,61,13
Tuesday,3/12/2019,9,3,13,4,15,5,9,0,11,0,2,1,0,0,0,,,,,,,,57,12
Wednesday,3/13/2019,9,4,8,1,14,4,12,4,11,0,0,0,1,1,0,,,,,,,,54,13
Thursday,3/14/2019,12,4,7,1,11,0,15,5,9,0,4,3,0,2,0,,,,,,,,54,10
Friday,3/15/2019,11,1,7,3,6,0,14,3,13,4,0,0,2,0,1,Ortho,,,,,,,51,11
Saturday,3/16/2019,10,0,11,6,9,4,9,0,14,3,2,1,0,0,0,,,,,,,,53,13
Sunday,3/17/2019,12,3,15,4,13,5,7,0,8,0,2,0,0,0,0,,,,,,,,55,12
Monday,3/18/2019,15,3,13,0,12,4,12,5,8,0,3,1,1,,,,,,,,,,60,12
Tuesday,3/19/2019,16,6,12,1,13,6,17,8,13,4,4,3,0,0,0,,Ortho,hyponatremia,ortho,htn,ortho,htn/dm2,71,25
Wednesday,3/20/2019,15,4,8,3,8,1,14,0,16,7,4,0,0,0,0,,,,,,,,61,15
Thursday,3/21/2019,12,0,11,6,10,6,9,2,13,4,3,0,0,1,0,,,,,,,,55,18
Friday,3/22/2019,14,2,11,3,10,3,8,1,11,2,1,0,0,0,0,,,,,,,,54,11
Saturday,3/23/2019,16,4,8,0,12,4,,,9,2,0,0,1,0,0,,,,,,,,45,10
Sunday,3/24/2019,16,1,4,0,10,2,13,7,8,2,2,2,1,0,0,,vascular,pre-op/htn,ACS,pre-op,,,51,12
Monday,3/25/2019,15,0,7,3,6,0,14,1,14,8,4,4,1,1,0,,NSRY,Transfer,Psych,Med Manage,Ortho,PreOp,56,12
Tuesday,3/26/2019,11,0,10,5,8,3,8,0,16,2,5,2,1,0,0,,Ortho,Pre-op/co-mgmt,ortho,co-mgmt,,,53,10
Wednesday,3/27/2019,9,3,13,4,11,6,6,0,13,0,6,2,1,1,0,,nsry,PNA,Psych,elevated LFT,,,52,13
Thursday,3/28/2019,14,6,11,2,12,5,5,1,9,0,7,1,0,0,0,,nsry,CO manage,,,,,51,14
Friday,3/29/2019,13,3,8,0,9,0,12,7,11,2,4,0,0,0,0,,,,,,,,53,12
Saturday,3/30/2019,6,0,9,3,6,,,,15,5,5,1,0,1,1,Neuro,Neuro,transfer,,,,,36,8
Sunday,3/31/2019,6,0,14,8,8,4,,,16,1,5,2,0,0,0,,Psych,HyperK,Ortho,Med magement,,,44,13
Monday,4/1/2019,10,2,15,4,14,6,8,0,13,0,4,1,1,1,1,Neurosurg,,,,,,,60,12
Tuesday,4/2/2019,16,4,14,4,16,4,9,4,9,0,3,2,0,2,0,Psych,Ortho,,,,,,64,16
Wednesday,4/3/2019,16,4,13,2,11,0,8,2,11,5,5,4,2,0,1,gensurg,neurosurg,N/V and leukocytosis,neuro,diabetes,neurosurg,prep clearance,59,13
Thursday,4/4/2019,13,0,9,0,6,,6,2,14,4,4,2,2,0,0,,ortho,dm,ortho,dm and htn,,,48,6
Friday,4/5/2019,9,0,14,8,7,3,4,0,13,1,4,1,3,0,1,cts,cts,xfer of service,,,,,47,12
Saturday,4/6/2019,8,1,15,4,11,4,3,0,10,0,6,4,1,0,0,,neurosurgery,preop,trauma,sepsis,acs,AKI,47,9
Sunday,4/7/2019,15,4,10,0,14,3,4,1,10,0,4,1,3,0,0,,trauma,hypoxia,,,,,53,8
Monday,4/8/2019,13,3,8,0,13,0,9,6,10,0,3,1,2,0,0,,ortho,dm2,,,,,53,9
Tuesday,4/9/2019,13,3,9,2,9,0,11,4,14,5,2,1,3,0,0,,blue surg,transfer,,,,,56,14
Wednesday,4/10/2019,5,0,14,8,11,5,10,0,14,4,3,1,3,2,0,,ent,co-man,,,,,54,17
Thursday,4/11/2019,11,8,12,4,11,4,6,0,15,3,4,2,2,0,0,,ent,co-man,ent,co-man,,,55,19
Friday,4/12/2019,12,3,13,4,13,4,8,2,13,0,4,0,2,0,0,,,,,,,,59,13
Saturday,4/13/2019,11,4,7,0,7,0,13,4,10,0,1,0,3,0,,,,,,,,,48,8
Sunday,4/14/2019,9,0,5,2,6,0,,,15,7,,,,,,,,,,,,,35,9
Monday,4/15/2019,6,0,11,7,8,3,11,0,16,4,0,0,2,0,0,,,,,,,,52,14
Tuesday,4/16/2019,8,2,13,4,10,5,11,1,14,2,2,0,2,0,0,,,,,,,,56,14
Wednesday,4/17/2019,14,4,13,2,13,4,8,3,13,0,3,2,1,0,0,,psych,anemia,psych,dyspnea,,,61,13
Thursday,4/18/2019,13,4,9,0,10,0,10,4,11,3,3,2,2,1,0,,vascular,AMS,vascular,discharge recs,,,53,11
Friday,4/19/2019,8,0,10,2,7,0,9,4,13,5,3,3,2,0,1,ortho,ortho,bacteremia,neuro,transfer,neuro,cellulitis,47,11
Saturday,4/20/2019,6,0,13,8,8,3,5,1,12,3,1,0,1,0,0,,,,,,,,44,15
Sunday,4/21/2019,6,0,12,1,11,4,5,0,10,0,0,0,1,0,0,,,,,,,,44,5
Monday,4/22/2019,,,12,0,11,4,5,1,9,0,2,2,1,,,,urology,hyperK +AKI on CKD,ACS,tx of service,,,37,5
Tuesday,4/23/2019,,,9,0,9,2,11,5,10,3,4,1,0,,,,,,,,,,39,10
Wednesday,4/24/2019,,1,7,0,7,0,14,4,13,6,4,2,0,,,,,,,,,,41,11
Thursday,4/25/2019,,,13,9,7,2,8,0,16,3,,,,,,,,,,,,,44,14
Friday,4/26/2019,,,13,4,9,4,,,10,0,,,,,,,,,,,,,32,8
Saturday,4/27/2019,,,7,0,11,2,6,3,8,0,4,1,0,,,,,,,,,,32,5
Sunday,4/28/2019,,,7,0,8,0,12,6,7,1,,,,,,,,,,,,,34,7
Monday,4/29/2019,7,2,5,1,9,1,15,4,14,7,5,2,0,0,0,,NSGY,fever and leukocytosis,Neuro,leukocytosis,,,50,15
Tuesday,4/30/2019,5,0,10,4,11,2,12,2,12,4,4,1,1,0,1,Neuro,Trauma,chest pain,,,,,50,12
Wednesday,5/1/2019,6,2,12,4,13,5,6,0,8,0,5,4,1,0,0,,Neuro,HTN and DM,Neuro,tongue wound,NSGY,preop,45,11
Thursday,5/2/2019,10,6,8,0,14,2,6,0,7,0,4,2,1,0,0,,NSGY,"preop, AKI",Ortho,"preop, comorbidities",,,45,8
Friday,5/3/2019,7,3,6,0,11,0,9,4,7,2,5,4,3,0,1,NSGY,Neuro,cat scratch wound,ENT,AKI,Ortho,comorbidities,40,9
Saturday,5/4/2019,8,1,7,4,9,0,11,4,13,8,0,0,4,0,0,,,,,,,,48,17
Sunday,5/5/2019,6,1,11,6,9,2,9,0,15,4,2,0,1,0,0,,,,,,,,50,13
Monday,5/6/2019,7,2,11,2,16,5,8,0,12,1,,,,,,,,,,,,,54,10
Tuesday,5/7/2019,11,6,10,3,16,4,8,2,9,1,1,1,0,1,0,NSGY,,,,,,,54,16
Wednesday,5/8/2019,12,6,9,1,11,2,16,10,11,2,2,2,,,,,psych,htn,ent/ophtho,dm2,,,59,21
Thursday,5/9/2019,11,3,10,4,12,6,16,3,12,6,3,3,,,1,,psych,chest pain,ortho spine,comanagement,CTS,tx of service,61,22
Friday,5/10/2019,11,2,12,,9,2,14,2,13,3,,3,,,,,,,,,,,59,9
Saturday,5/11/2019,14,4,10,4,14,7,10,2,14,1,,,,,,,,,,,,,62,18
Sunday,5/12/2019,17,5,9,,11,2,9,0,12,1,3,3,0,0,1,ACS,psych ,cough,Trauma,,,,58,8
Monday,5/13/2019,15,2,8,0,9,0,14,6,12,5,7,1,,,1,ortho onc,trauma,bp management,,,,,58,13
Tuesday,5/14/2019,10,4,11,4,5,0,15,3,15,5,5,1,,,,,ortho,elevated bnp,,,,,56,16
Wednesday,5/15/2019,7,0,12,6,6,2,13,2,12,3,5,1,2,0,0,,Ortho,,,,,,50,13
Thursday,5/16/2019,2,0,10,3,12,8,11,2,9,0,7,2,0,1,0,,nsry,"htn, EKG",psych,cough,,,44,13
Friday,5/17/2019,7,4,8,1,14,4,8,3,8,0,4,1,1,0,1,Psych,Psych ,"htn, sore throat",,,,,45,12
Saturday,5/18/2019,6,4,5,0,13,,12,4,7,3,0,0,2,0,,,,,,,,,43,11
Sunday,5/19/2019,6,2,3,,10,0,11,2,13,4,2,2,2,0,,,ENT,HTN,NSRGY,,,,43,8
Monday,5/20/2019,6,2,9,7,,,8,0,13,3,1,1,4,,1,NSGY,NSGY,Chest pain,,128,,,36,12
Tuesday,5/21/2019,4,0,8,0,,,7,2,10,1,2,1,,,,,Blue surgery,Anemia,,34,,,29,3
Wednesday,5/22/2019,11,8,7,1,,,6,3,9,0,2,0,0,1,1,NSGY,,,,,,,33,12
Thursday,5/23/2019,10,4,4,0,,,10,5,10,3,5,4,0,1,,,ENT,preop,Ent,Anemia,Vasc,Chest pain,34,12
Friday,5/24/2019,9,3,7,5,,,11,4,13,5,4,1,0,1,,,Nsgy,Preop,,,,,40,17
Saturday,5/25/2019,8,2,7,4,,,7,0,11,3,4,2,2,,1,ortho,Ortho,Hypotension,Neurology,Agitation/nutrition ,,,33,9
Sunday,5/26/2019,7,0,6,1,,,6,0,8,0,,,,,,,,,,,,,27,1
Monday,5/27/2019,9,6,6,1,,,6,2,6,0,3,1,0,0,1,NSGY,ortho,"pre-op, dm2",,,,,27,9
Tuesday,5/28/2019,10,4,6,0,,,11,6,8,3,5,2,0,0,,,ortho,pre-op ,ortho-onc,"dm2, htn",,,35,13
Wednesday,5/29/2019,7,0,7,1,,,13,4,12,7,7,4,2,2,,,psych x2,dm2 (1) leg pain (2),ACS,dm2 ,ortho,dm2,39,12
Thursday,5/30/2019,7,1,9,6,,,9,2,13,4,4,3,2,0,1,trauma,psych  ,uti,trauma,"aki, transfer",ortho,dvt,38,13
Friday,5/31/2019,8,2,11,4,,,8,0,10,0,5,4,2,2,,,ortho x2,elevated wbc (1) pre-op (2),ortho ,pre-op,acs,dm2,37,6
Saturday,6/1/2019,13,7,8,1,,,9,2,7,0,7,1,1,0,1,surg,,,,,,,37,10
Sunday,6/2/2019,14,2,5,0,,,12,4,6,2,5,0,1,0,0,,,,,,,,37,8
Monday,6/3/2019,,,4,0,13,0,11,2,10,5,4,0,1,1,0,,,,,,,,38,7
Tuesday,6/4/2019,,,14,8,13,2,8,0,11,4,4,3,1,0,0,,ent,hypertension,psych,htn,ortho,med management,46,14
Wednesday,6/5/2019,,,12,4,17,5,7,0,6,0,5,2,2,0,0,,psych,herpes,ortho,abscess,,,42,9
Thursday,6/6/2019,,,11,3,16,3,9,4,5,0,4,2,2,1,1,ENT,Ortho,comanagement,acs,fluid overload,,,41,10
Friday,6/7/2019,,,8,0,16,2,13,6,10,5,3,1,1,0,0,,psych,hiv,,,,,47,13
Saturday,6/8/2019,,,,,15,0,14,4,12,4,1,0,0,0,0,,,,,,,,41,8
Sunday,6/9/2019,,,,,15,3,13,4,13,4,1,0,0,0,,,,,,,,,42,11
Monday,6/10/2019,,,15,3,16,3,10,1,7,0,0,0,1,1,0,,,,,,,,51,10
Tuesday,6/11/2019,,,13,0,14,1,8,0,6,0,1,1,1,0,0,,ortho,med mgmt/pre-op,,,,,41,1
Wednesday,6/12/2019,13,4,9,0,12,0,15,5,5,0,2,1,1,0,0,,ortho,,,,,,54,9
Thursday,6/13/2019,10,0,10,4,9,0,14,3,,,2,0,1,0,0,,,,,,,,43,7
Friday,6/14/2019,,,11,5,9,3,9,0,,,4,3,1,0,0,,neuro,leukocytosis,ACS,transfer,psych,anemia,29,8
Saturday,6/15/2019,,,14,5,13,6,4,0,,,2,0,2,0,0,,,,,,,,31,11
Sunday,6/16/2019,,,11,0,10,0,6,2,,,4,2,2,0,1,Neuro,Neuro,HIV/Fevers/Txfr,Psych,Tachycardia,,,27,2
Monday,6/17/2019,16,4,10,0,,,11,7,,,2,0,1,0,1,Ortho,,,,,,,37,11
Tuesday,6/18/2019,12,0,8,2,,,11,4,,,2,1,1,0,0,,psych,htn,,,,,31,6
Wednesday,6/19/2019,6,0,14,8,,,13,3,,,0,0,1,0,0,,,,,,,,33,11
Thursday,6/20/2019,7,3,12,4,,,8,0,,,0,1,1,0,0,,neurosurg,"RA, HTn",,,,,27,7
Friday,6/21/2019,10,4,9,0,,,11,3,,,2,1,1,0,0,,ortho,dm1,,,,,30,7
Saturday,6/22/2019,11,4,6,0,,,13,6,,,0,0,1,1,0,,,,,,,,30,10
Sunday,6/23/2019,9,0,10,4,,,14,3,,,1,1,1,0,0,,ortho,htn,,,,,33,7
Monday,6/24/2019,7,3,10,6,,,16,2,,,,,,,,,,,,,,,33,11
Tuesday,6/25/2019,7,3,11,4,,,13,0,,,,,,,,,,,,,,,31,7
Wednesday,6/26/2019,12,6,9,1,,,12,3,,,,,,,,,,,,,,,33,10
Thursday,6/27/2019,11,4,6,0,,,16,5,8,2,,,,,,,,,,,,,41,11
Friday,6/28/2019,12,3,10,4,,,15,2,12,6,,,,,,,,,,,,,49,15
Saturday,6/29/2019,4,0,13,5,,,9,0,16,4,5,4,3,,,,ortho x2,"dm2, htn and dvt",vascular,"ckd, dm, htn",ed/psych,hypothyroid,42,9
Sunday,6/30/2019,7,3,16,4,,,7,0,13,0,6,2,2,,,,psych,"fever, n/v",trauma,"ckd, sternal fx",,,43,7
Monday,7/1/2019,12,5,,,,,,,,,,,,,,,,,,,,,12,5
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
